President,Date,Ordernumber,Description
Ronald Reagan,21-Apr-87,Executive Order 12593,President's Committee on the Arts and the Humanities
Ronald Reagan,28-Apr-87,Executive Order 12594,President's Volunteer Action Award
Ronald Reagan,5-May-87,Executive Order 12595,White House Conference for a Drug Free America
Ronald Reagan,7-May-87,Executive Order 12596,Career Status of Federal Employees
Ronald Reagan,13-May-87,Executive Order 12597,Establishing Procedures for Facilitating Presidential Review of International Aviation Decisions by the Department of Transportation
Ronald Reagan,17-Jun-87,Executive Order 12598,Victims of Terrorism Compensation
Ronald Reagan,23-Jun-87,Executive Order 12599,Coordination of Economic Policies for Sub-Saharan Africa
Ronald Reagan,23-Jun-87,Executive Order 12600,Predisclosure Notification Procedures for Confidential Commercial Information
Ronald Reagan,24-Jun-87,Executive Order 12601,Presidential Commission on the Human Immunodeficiency Virus Epidemic
Ronald Reagan,15-Jul-87,Executive Order 12602,President's Commission on Executive Exchange
Ronald Reagan,16-Jul-87,Executive Order 12603,Presidential Commission on the Human Immunodeficiency Virus Epidemic
Ronald Reagan,5-Aug-87,Executive Order 12604,Presidential Board of Advisors on Private Sector Initiatives
Ronald Reagan,12-Aug-87,Executive Order 12605,Navy and Marine Corps Reserve Officer Promotions
Ronald Reagan,2-Sep-87,Executive Order 12606,The Family
Ronald Reagan,2-Sep-87,Executive Order 12607,President's Commission on Privatization
Ronald Reagan,9-Sep-87,Executive Order 12608,Elimination of Unnecessary Executive Orders and Technical Amendments to Others
Ronald Reagan,23-Sep-87,Executive Order 12609,President's Commission on Compensation of Career Federal Executives
Ronald Reagan,30-Sep-87,Executive Order 12610,Continuance of Certain Federal Advisory Committees
Ronald Reagan,15-Oct-87,Executive Order 12611,Delegating Authority To Implement Assistance for Central American Democracies and the Nicaraguan Democratic Resistance
Ronald Reagan,26-Oct-87,Executive Order 12612,Federalism
Ronald Reagan,29-Oct-87,Executive Order 12613,Prohibiting Imports from Iran
Ronald Reagan,5-Nov-87,Executive Order 12614,Presidential Task Force on Market Mechanisms
Ronald Reagan,19-Nov-87,Executive Order 12615,Performance of Commercial Activities
Ronald Reagan,24-Nov-87,Executive Order 12616,Providing for the Restoration of Law and Order in the State of Georgia
Ronald Reagan,17-Dec-87,Executive Order 12617,President's Advisory Committee on Mediation and Conciliation
Ronald Reagan,22-Dec-87,Executive Order 12618,Uniform Treatment of Federally Funded Inventions
Ronald Reagan,24-Dec-87,Executive Order 12619,"Half-Day Closing of Government Departments and Agencies on Thursday,"
Ronald Reagan,24-Dec-87,Executive Order 12620,Delegation of Authority With Respect to the Administration of Justice Program
Ronald Reagan,29-Dec-87,Executive Order 12621,President's Task Force on Market Mechanisms
Ronald Reagan,31-Dec-87,Executive Order 12622,Adjustments of Certain Rates of Pay and Allowances
Ronald Reagan,6-Jan-88,Executive Order 12623,Delegating Authority To Implement Assistance to the Nicaraguan Democratic Resistance
Ronald Reagan,6-Jan-88,Executive Order 12624,Increasing the Number of Members on the President's Foreign Intelligence Advisory Board
Ronald Reagan,27-Jan-88,Executive Order 12625,Integrity and Efficiency in Federal Programs
Ronald Reagan,25-Feb-88,Executive Order 12626,National Defense Stockpile Manager
Ronald Reagan,29-Feb-88,Executive Order 12627,Amending the President's Commission on Privatization
Ronald Reagan,8-Mar-88,Executive Order 12628,United Nations Industrial Development Organization
Ronald Reagan,9-Mar-88,Executive Order 12629,Nuclear Cooperation With EURATOM
Ronald Reagan,16-Mar-88,Executive Order 12630,Governmental Actions and Interference With Constitutionally Protected Property Rights
Ronald Reagan,18-Mar-88,Executive Order 12631,Working Group on Financial Markets
Ronald Reagan,23-Mar-88,Executive Order 12632,Exclusions From the Federal Labor- Management Relations Program
Ronald Reagan,28-Mar-88,Executive Order 12633,Amending the Code of Conduct for Members of the Armed Forces of the United States
Ronald Reagan,1-Apr-88,Executive Order 12634,"Delegating Authority to Provide Assistance and Support for Peace, Democracy, and Reconciliation in Central America"
Ronald Reagan,8-Apr-88,Executive Order 12635,Prohibiting Certain Transactions With Respect to Panama
Ronald Reagan,20-Apr-88,Executive Order 12636,Establishment of Emergency Board No. 213 To Investigate a Railroad Labor Dispute
Ronald Reagan,27-Apr-88,Executive Order 12637,Productivity Improvement Program for the Federal Government
Ronald Reagan,28-Apr-88,Executive Order 12638,Delegation of Functions Relating to the Implementation of the Inter-American Convention on Letters Rogatory and Additional Protocol
Ronald Reagan,6-May-88,Executive Order 12639,Administration of Foreign Relations and Related Functions
Ronald Reagan,10-May-88,Executive Order 12640,The President's Committee on Employment of People With Disabilities
Ronald Reagan,20-May-88,Executive Order 12641,John C. Stennis Space Center
Ronald Reagan,8-Jun-88,Executive Order 12642,Designation of the Secretary of Defense as the Presidential Designee Under Title I of the Uniformed and Overseas Citizens Absentee Voting Act
Ronald Reagan,23-Jun-88,Executive Order 12643,International Committee of the Red Cross
Ronald Reagan,9-Jul-88,Executive Order 12644,Establishment of Emergency Board No. 214 To Investigate a Railroad Labor Dispute
Ronald Reagan,12-Jul-88,Executive Order 12645,"Amending Executive Order 12364, Relating to the Presidential Management Intern Program"
Ronald Reagan,13-Jul-88,Executive Order 12646,Establishment of Emergency Board No. 215 To Investigate a Railroad Labor Dispute
Ronald Reagan,2-Aug-88,Executive Order 12647,Multilateral Investment Guarantee Agency
Ronald Reagan,11-Aug-88,Executive Order 12648,Relating to the Implementation of the Convention on the Civil Aspects of International Child Abduction
Ronald Reagan,11-Aug-88,Executive Order 12649,Offsets in Military-Related Exports
Ronald Reagan,9-Sep-88,Executive Order 12650,Establishing an Emergency Board To Investigate a Railway Labor Dispute
Ronald Reagan,9-Sep-88,Executive Order 12651,Offices of the Commission of the European Communities
Ronald Reagan,19-Sep-88,Executive Order 12652,Return of Authority To Administer Federal Employees' Compensation Act to the Department of Labor From the Panama Canal Commission
Ronald Reagan,29-Sep-88,Executive Order 12653,"Amending Executive Order 11183, Relating to the President's Commission on White House Fellowships"
Ronald Reagan,7-Oct-88,Executive Order 12654,Delegating Authority to Provide Assistance for the Nicaraguan Resistance
Ronald Reagan,7-Nov-88,Executive Order 12655,Establishment of an Emergency Board To Investigate a Railroad Labor Dispute
Ronald Reagan,18-Nov-88,Executive Order 12656,Assignment of Emergency Preparedness Responsibilities
Ronald Reagan,18-Nov-88,Executive Order 12657,Federal Emergency Management Agency Assistance in Emergency Preparedness Planning at Commercial Nuclear Power Plants
Ronald Reagan,18-Nov-88,Executive Order 12658,President's Commission on Catastrophic Nuclear Accidents
Ronald Reagan,15-Dec-88,Executive Order 12659,Delegation of Authority Regarding the Naval Petroleum and Oil Shale Reserves
Ronald Reagan,16-Dec-88,Executive Order 12660,National Microgravity Research Board
Ronald Reagan,27-Dec-88,Executive Order 12661,Implementing the Omnibus Trade and Competitiveness Act of 1988 and Related International Trade Matters
Ronald Reagan,31-Dec-88,Executive Order 12662,Implementing the United States-Canada Free-Trade Implementation Act
Ronald Reagan,6-Jan-89,Executive Order 12663,Adjustments of Certain Rates of Pay and Allowances
Ronald Reagan,6-Jan-89,Executive Order 12664,Establishment of Emergency Board No. 218 To Investigate a Railroad Labor Dispute
Ronald Reagan,12-Jan-89,Executive Order 12665,"Amending Executive Order No. 12658, President's Commission on Catastrophic Nuclear Accidents"
Ronald Reagan,12-Jan-89,Executive Order 12666,Exclusions From the Federal Labor- Management Relations Program
Ronald Reagan,18-Jan-89,Executive Order 12667,Presidential Records
George Bush,25-Jan-89,Executive Order 12668,President's Commission on Federal Ethics Law Reform
George Bush,20-Feb-89,Executive Order 12669,Organization of Eastern Caribbean States
George Bush,9-Mar-89,Executive Order 12670,Nuclear Cooperation With EURATOM
George Bush,14-Mar-89,Executive Order 12671,Exclusion of the Customs Office of Enforcement From the Federal Labor-Management Relations Program
George Bush,21-Mar-89,Executive Order 12672,Interagency Committee on Handicapped Employees
George Bush,23-Mar-89,Executive Order 12673,Delegation of Disaster Relief and Emergency Assistance Functions
George Bush,12-Apr-89,Executive Order 12674,Principles of Ethical Conduct for Government Officers and Employees
George Bush,20-Apr-89,Executive Order 12675,Establishing the National Space Council
George Bush,26-Apr-89,Executive Order 12676,Delegating Authority To Provide Assistance for the Nicaraguan Resistance
George Bush,28-Apr-89,Executive Order 12677,Historically Black Colleges and Universities
George Bush,28-Apr-89,Executive Order 12678,Level IV of the Executive Schedule
George Bush,23-Jun-89,Executive Order 12679,Level IV of the Executive Schedule
George Bush,5-Jul-89,Executive Order 12680,Administration of Foreign Assistance and Related Functions and Arms Export Controls
George Bush,6-Jul-89,Executive Order 12681,Exclusions From the Federal Labor-Management Relations Program
George Bush,7-Jul-89,Executive Order 12682,Commission on Alternative Utilization of Military Facilities
George Bush,21-Jul-89,Executive Order 12683,Prescribing Regulations Relating to Certain Travel Time of Members of the Uniformed Services Called to Active Duty
George Bush,27-Jul-89,Executive Order 12684,Conforming the Central Intellegence Agency and Civil Service Retirement and Disability Systems
George Bush,28-Jul-89,Executive Order 12685,Noncompetitive Conversion of Personal Assistants to Employees with Disabilities
George Bush,4-Aug-89,Executive Order 12686,President's Commission on Aviation Security and Terrorism
George Bush,15-Aug-89,Executive Order 12687,President's Education Policy Advisory Committee
George Bush,15-Aug-89,Executive Order 12688,"Transfer Authority Choctawhatchee National Forest, Florida"
George Bush,15-Aug-89,Executive Order 12689,Debarment and Suspension
George Bush,20-Sep-89,Executive Order 12690,Providing for the Restoration of Law and Order in the Virgin Islands
George Bush,23-Sep-89,Executive Order 12691,President's Advisory Committee on the Points of Light Initiative Foundation
George Bush,29-Sep-89,Executive Order 12693,Exclusion of the Defense Mapping Agency Reston Center and Elements Under the Joint Special Operations Command From the Federal Labor-Management Relations Program
George Bush,29-Sep-89,Executive Order 12692,Continuance of Certain Federal Advisory Committees
George Bush,11-Oct-89,Executive Order 12694,Amending Executive Order No. 12345
George Bush,1-Nov-89,Executive Order 12695,Delegation of Debt Relief Authority
George Bush,13-Nov-89,Executive Order 12696,President's Drug Advisory Council
George Bush,22-Dec-89,Executive Order 12697,Extending the National Commission on Superconductivity
George Bush,23-Dec-89,Executive Order 12698,Adjustments of Certain Rates of Pay and Allowances
George Bush,5-Jan-90,Executive Order 12699,Seismic Safety of Federal and Federally Assisted or Regulated New Building Construction
George Bush,19-Jan-90,Executive Order 12700,President's Council of Advisors on Science and Technology
George Bush,14-Feb-90,Executive Order 12701,Amending Executive Order No. 12334
George Bush,20-Feb-90,Executive Order 12702,Waiver Under the Trade Act of 1974 With Respect to Czechoslovakia
George Bush,20-Feb-90,Executive Order 12703,Support for East European Democracy (SEED) Program
George Bush,26-Feb-90,Executive Order 12704,"Amendments to Executive Orders Nos. 11830, 12367, and 12692"
George Bush,3-Mar-90,Executive Order 12705,Extending the President's Commission on Aviation Security and Terrorism
George Bush,9-Mar-90,Executive Order 12706,Nuclear Cooperation with EURATOM
George Bush,13-Mar-90,Executive Order 12707,Termination of Emergency With Respect to Nicaragua
George Bush,23-Mar-90,Executive Order 12708,"Amendments to the Manual for Courts-Martial, United States, 1984"
George Bush,4-Apr-90,Executive Order 12709,Increasing the Membership of the President's Council on Physical Fitness and Sports
George Bush,5-Apr-90,Executive Order 12710,Termination of Emergency With Respect to Panama
George Bush,11-Apr-90,Executive Order 12711,Policy Implementation With Respect to Nationals of the People's Republic of China
George Bush,26-Apr-90,Executive Order 12712,Adding the Secretary of Energy to the National Space Council
George Bush,1-May-90,Executive Order 12713,Report Required by Section 502 of the Automotive Products Trade Act of 1965
George Bush,3-May-90,Executive Order 12714,Establishment of a Presidential Emergency Board To Investigate Railroad Labor Disputes
George Bush,3-May-90,Executive Order 12715,Support of Overseas Scouting Activities for Military Dependents
George Bush,24-May-90,Executive Order 12716,Extending the National Commission on Superconductivity
George Bush,18-Jun-90,Executive Order 12717,Revoking Executive Order No. 12691
George Bush,29-Jun-90,Executive Order 12718,President's Advisory Commission on the Public Service
George Bush,11-Jul-90,Executive Order 12719,President's Commission on the Federal Appointment Process
George Bush,16-Jul-90,Executive Order 12720,President's Council on Rural America
George Bush,30-Jul-90,Executive Order 12721,Eligibility of Overseas Employees for Noncompetitive Appointments
George Bush,2-Aug-90,Executive Order 12722,Blocking Iraqi Government Property and Prohibiting Transactions with Iraq
George Bush,2-Aug-90,Executive Order 12723,Blocking Kuwaiti Government Property
George Bush,9-Aug-90,Executive Order 12724,Blocking Iraqi Government Property and Prohibiting Transactions With Iraq
George Bush,9-Aug-90,Executive Order 12725,Blocking Kuwaiti Government Property and Prohibiting Transactions With Kuwait
George Bush,15-Aug-90,Executive Order 12726,Waiver Under the Trade Act of 1974 With Respect to the German Democratic Republic
George Bush,22-Aug-90,Executive Order 12727,Ordering the Selected Reserve of the Armed Forces to Active Duty
George Bush,22-Aug-90,Executive Order 12728,"Delegating the President's Authority To Suspend any Provision of Law Relating to the Promotion, Retirement, or Separation of Members of the Armed Forces"
George Bush,24-Sep-90,Executive Order 12729,Educational Excellence for Hispanic Americans
George Bush,30-Sep-90,Executive Order 12730,Continuation of Export Control Regulations
George Bush,17-Oct-90,Executive Order 12731,Principles of Ethical Conduct for Government Officers and Employees
George Bush,31-Oct-90,Executive Order 12732,International Fund for Agricultural Development
George Bush,13-Nov-90,Executive Order 12733,Authorizing the Extension of the Period of Active Duty of Personnel of the Selected Reserve of the Armed Forces
George Bush,14-Nov-90,Executive Order 12734,National Emergency Construction Authority
George Bush,16-Nov-90,Executive Order 12735,Chemical and Biological Weapons Proliferation
George Bush,12-Dec-90,Executive Order 12736,Adjustments of Certain Rates of Pay and Allowances
George Bush,12-Dec-90,Executive Order 12737,President's Commission on Environmental Quality
George Bush,14-Dec-90,Executive Order 12738,Administration of Foreign Assistance and Related Functions and Arms Export Controls
George Bush,17-Dec-90,Executive Order 12739,"Half-Day Closing of Government Departments and Agencies on Monday, December 24, 1990"
George Bush,29-Dec-90,Executive Order 12740,Waiver Under the Trade Act of 1974 With Respect to the Soviet Union
George Bush,31-Dec-90,Executive Order 12741,Extending the President's Education Policy Advisory Committee
George Bush,8-Jan-91,Executive Order 12742,National Security Industrial Responsiveness
George Bush,18-Jan-91,Executive Order 12743,Ordering the Ready Reserve of the Armed Forces to Active Duty
George Bush,21-Jan-91,Executive Order 12744,"Designation of Arabian Peninsula Areas, Airspace, and Adjacent Waters as a Combat Zone"
George Bush,22-Jan-91,Executive Order 12745,Waiver Under the Trade Act of 1974 With Respect to Bulgaria
George Bush,23-Jan-91,Executive Order 12746,Waiver Under the Trade Act of 1974 With Respect to Mongolia
George Bush,25-Jan-91,Executive Order 12747,National Nutrition Monitoring Advisory Council
George Bush,1-Feb-91,Executive Order 12748,Providing for Federal Pay Adminstration
George Bush,4-Feb-91,Executive Order 12749,Additions to Level IV of the Executive Schedule
George Bush,14-Feb-91,Executive Order 12750,"Designation of Arabian Peninsula Areas, Airspace, and Adjacent Waters as the Persian Gulf Desert Shield Area"
George Bush,14-Feb-91,Executive Order 12751,Health Care Services for Operation Desert Storm
George Bush,25-Feb-91,Executive Order 12752,"Implementation of the Agricultural Trade Development and Assistance Act of 1954, as Amended, and the Food for Progress Act of 1985, as Amended"
George Bush,8-Mar-91,Executive Order 12753,Nuclear Cooperation With EURATOM
George Bush,12-Mar-91,Executive Order 12754,Establishing the Southwest Asia Service Medal
George Bush,12-Mar-91,Executive Order 12755,Administration of Export Controls
George Bush,18-Mar-91,Executive Order 12756,Continuance of the President's Drug Advisory Council
George Bush,19-Mar-91,Executive Order 12757,Implementation of the Enterprise for the Americas Initiative
George Bush,5-Apr-91,Executive Order 12758,Addition to Level IV of the Executive Schedule
George Bush,17-Apr-91,Executive Order 12759,Federal Energy Management
George Bush,2-May-91,Executive Order 12760,President's Commission on Executive Exchange
George Bush,21-May-91,Executive Order 12761,Establishment of the President's Environment and Conservation Challenge Awards
George Bush,4-Jun-91,Executive Order 12762,Amendment Relating to Basic Allowance for Quarters
George Bush,4-Jun-91,Executive Order 12763,Facilitating the Operation of the Advisory Commission on Conferences in Ocean Shipping
George Bush,5-Jun-91,Executive Order 12764,Federal Salary Council
George Bush,11-Jun-91,Executive Order 12765,Delegation of Certain Defense Related Authorities of the President to the Secretary of Defense
George Bush,18-Jun-91,Executive Order 12766,European Bank for Reconstruction and Development and European Space Agency
George Bush,27-Jun-91,Executive Order 12767,"Amendments to the Manual for Courts-Martial, United States, 1984"
George Bush,28-Jun-91,Executive Order 12768,Extension of the President's Council of Advisors on Science and Technology
George Bush,10-Jul-91,Executive Order 12769,Implementation of Section 311(a) of the Comprehensive Anti-Apartheid Act
George Bush,25-Jul-91,Executive Order 12770,Metric Usage in Federal Governmental Programs
George Bush,25-Jul-91,Executive Order 12771,Revoking Earlier Orders With Respect to Kuwait
George Bush,17-Aug-91,Executive Order 12772,Waiver Under the Trade Act of 1974 With Respect to Romania
George Bush,26-Sep-91,Executive Order 12773,Amending Executive Order 10480
George Bush,27-Sep-91,Executive Order 12774,Continuance of Certain Federal Advisory Committees
George Bush,4-Oct-91,Executive Order 12775,Prohibiting Certain Transactions With Respect to Haiti
George Bush,8-Oct-91,Executive Order 12776,Extending the National Defense Service Medal to Members of the Reserve Components of the Armed Forces of the United States During the Period of the Persian Gulf Crisis
George Bush,18-Oct-91,Executive Order 12777,"Implementation of Section 311 of the Federal Water Pollution Control Act of October 18, 1972, as Amended, and the Oil Pollution Act of 1990"
George Bush,23-Oct-91,Executive Order 12778,Civil Justice Reform
George Bush,28-Oct-91,Executive Order 12779,Prohibiting Certain Transactions With Respect to Haiti
George Bush,31-Oct-91,Executive Order 12780,Federal Agency Recycling and the Council on Federal Recycling and Procurement Policy
George Bush,20-Nov-91,Executive Order 12781,"Delegation of Functions and Authorities, Development of Requirements and Regulations, and Correction of Title"
George Bush,21-Nov-91,Executive Order 12782,Amending Executive Order No. 12594
George Bush,17-Dec-91,Executive Order 12783,Extending the President's Council on Rural America
George Bush,19-Dec-91,Executive Order 12784,Delegation of Authority Regarding the Naval Petroleum and Oil Shale Reserves
George Bush,26-Dec-91,Executive Order 12785,Extending the President's Education Policy Advisory Committee
George Bush,26-Dec-91,Executive Order 12786,Adjustments of Certain Rates of Pay and Allowances
George Bush,31-Dec-91,Executive Order 12787,The Order of Succession of Officers To Act as Secretary of Defense
George Bush,15-Jan-92,Executive Order 12788,Defense Economic Adjustment Program
George Bush,10-Feb-92,Executive Order 12789,Delegation of Reporting Functions Under the Immigration Reform and Control Act of 1986
George Bush,3-Mar-92,Executive Order 12790,Amending the Order Establishing the Southwest Asia Service Medal
George Bush,9-Mar-92,Executive Order 12791,Nuclear Cooperation With Euratom
George Bush,12-Mar-92,Executive Order 12792,National Commission on America's Urban Families
George Bush,20-Mar-92,Executive Order 12793,Continuing the Presidential Service Certificate and the Presidential Service Badge
George Bush,31-Mar-92,Executive Order 12794,Establishing an Emergency Board To Investigate Disputes Between Certain Railroads and Their Emploees Represented by the International Association of Machinists and Aerospace Workers
George Bush,31-Mar-92,Executive Order 12795,Establishing in Emergency Board To Investigate a Dispute Between the Consolidated Rail Corporation and its Employees Represented by the Brotherhood of Maintenance of Way Employes
George Bush,31-Mar-92,Executive Order 12796,Establishing an Emergency Board To Investigate Disputes Between the National Railroad Passenger Corporation and its Employees Represented BY Certain Labor Organizations
George Bush,3-Apr-92,Executive Order 12797,Review of Increases in Rates of Basic Pay for Certain Employees of the Department of Veterans Affairs and Other Agencies
George Bush,6-Apr-92,Executive Order 12798,Waiver Under the Trade Act of 1974 With Respect to Armenia
George Bush,7-Apr-92,Executive Order 12799,Navy and Marine Corps Reserve Officer Promotions
George Bush,13-Apr-92,Executive Order 12800,Notification of Employee Rights Concerning Payment of Union Dues or Fees
George Bush,15-Apr-92,Executive Order 12801,"Barring Overflight, Takeoff, and Landing of Aircraft Flying to or from Libya"
George Bush,16-Apr-92,Executive Order 12802,"Waiver Under the Trade Act of 1974 With Respect to the Republic of Byelarus, the Republic of Kyrgyzstan, and the Russian Federation"
George Bush,30-Apr-92,Executive Order 12803,Infrastructure Privatization
George Bush,1-May-92,Executive Order 12804,"Providing for the Restoration of Law and Order in the City and County of Los Angeles, and Other Districts of California"
George Bush,11-May-92,Executive Order 12805,Integrity and Efficiency in Federal Programs
George Bush,19-May-92,Executive Order 12806,Establishment of a Fetal Tissue Bank
George Bush,24-May-92,Executive Order 12807,Interdiction of Illegal Aliens
George Bush,30-May-92,Executive Order 12808,"Blocking ""Yugoslav Government"" Property and Property of the Governments of Serbia and Montenegro"
George Bush,3-Jun-92,Executive Order 12809,"Waiver Under the Trade Act of 1974 With Respect to Albania, Azerbaijan, Georgia, Kazakhstan, Moldova, Ukraine, and Uzbekistan"
George Bush,5-Jun-92,Executive Order 12810,Blocking Property of and Prohibiting Transactions With the Federal Republic of Yugoslavia (Serbia and Montenegro)
George Bush,24-Jun-92,Executive Order 12811,Waiver Under the Trade Act of 1974 With Respect to Tajikistan and Turkmenistan
George Bush,22-Jul-92,Executive Order 12812,Declassification and Release of Materials Pertaining to Prisoners of War and Missing in Action
George Bush,4-Aug-92,Executive Order 12813,President's Commission on Management of the Agency for International Development (AID) Programs
George Bush,10-Sep-92,Executive Order 12814,Additions to Level IV of the Executive Schedule for Members of the Chemical Safety and Hazard Investigation Board
George Bush,30-Sep-92,Executive Order 12815,Extending the President's Commission on Management of the Agency for International Development (AID) Programs
George Bush,14-Oct-92,Executive Order 12816,Management Improvement in the Federal Government
George Bush,21-Oct-92,Executive Order 12817,Transfer of Certain Iraqi Government Assets Held by Domestic Banks
George Bush,23-Oct-92,Executive Order 12818,Open Bidding on Federal and Federally Funded Construction Projects
George Bush,28-Oct-92,Executive Order 12819,Establishing a Presidential Youth Award for Community Service
George Bush,5-Nov-92,Executive Order 12820,Facilitating Federal Employees' Participation in Community Service Activities
George Bush,16-Nov-92,Executive Order 12821,Improving Mathematics and Science Education in Support of the National Education Goals
George Bush,16-Nov-92,Executive Order 12822,Providing for Payment of Separate Maintenance Allowances to Employees Assigned to Johnston Island
George Bush,3-Dec-92,Executive Order 12823,Amendments to Executive Order No. 12757 - Implementation of the Enterprise for the Americas Initiative
George Bush,7-Dec-92,Executive Order 12824,Establishing the Transportation Distinguished Service Medal
George Bush,18-Dec-92,Executive Order 12825,"Half-Day Closing of Executive Departments and Agencies of the Federal Government on Thursday, December 24, 1992"
George Bush,30-Dec-92,Executive Order 12826,Adjustment of Certain Rates of Pay and Allowances
George Bush,30-Dec-92,Executive Order 12827,Amendment to Executive Order No. 12792
George Bush,5-Jan-93,Executive Order 12828,Delegation of Certain Personnel Management Authorities
George Bush,6-Jan-93,Executive Order 12829,National Industrial Security Program
George Bush,9-Jan-93,Executive Order 12830,Establishing the Military Outstanding Volunteer Service Medal
George Bush,15-Jan-93,Executive Order 12831,Additional Measures with Respect to the Federal Republic of Yugoslavia (Serbia and Montenegro)
George Bush,19-Jan-93,Executive Order 12833,Addition to Level V of the Executive Schedule: Transition Manager for the United States Enrichment Corporation
George Bush,19-Jan-93,Executive Order 12832,Amendments Relating to the National Research Council
William J. Clinton,20-Jan-93,Executive Order 12834,Ethics Commitments by Executive Branch Appointees
William J. Clinton,25-Jan-93,Executive Order 12835,Establishment of the National Economic Council
William J. Clinton,1-Feb-93,Executive Order 12836,Revocation of Certain Executive Orders Concerning Federal Contracting
William J. Clinton,10-Feb-93,Executive Order 12837,Deficit Control and Productivity Improvement in the Administration of the Federal Government
William J. Clinton,10-Feb-93,Executive Order 12838,Termination and Limitation of Federal Advisory Committees
William J. Clinton,10-Feb-93,Executive Order 12839,"Reduction of 100,000 Federal Positions"
William J. Clinton,9-Mar-93,Executive Order 12840,Nuclear Cooperation With EURATOM
William J. Clinton,9-Mar-93,Executive Order 12841,Adjustments to Levels IV and V of the Executive Schedule
William J. Clinton,29-Mar-93,Executive Order 12842,International Development Law Institute
William J. Clinton,21-Apr-93,Executive Order 12843,Procurement Requirements and Policies for Federal Agencies for Ozone-Depleting Substances
William J. Clinton,21-Apr-93,Executive Order 12844,Federal Use of Alternative Fueled Vehicles
William J. Clinton,21-Apr-93,Executive Order 12845,Requiring Agencies To Purchase Energy Efficient Computer Equipment
William J. Clinton,25-Apr-93,Executive Order 12846,Additional Measures With Respect to the Federal Republic of Yugoslavia (Serbia and Montenegro)
William J. Clinton,17-May-93,Executive Order 12847,Amending Executive Order No. 11423
William J. Clinton,19-May-93,Executive Order 12848,Federal Plan To Break the Cycle of Homelessness
William J. Clinton,25-May-93,Executive Order 12849,Implementation of Agreement With the European Community on Government Procurement
William J. Clinton,28-May-93,Executive Order 12850,Conditions for Renewal of Most-Favored-Nation Status for the Peoples Republic of China in 1994
William J. Clinton,11-Jun-93,Executive Order 12851,"Administration of Proliferation Sanctions, Middle East Arms Control, and Related Congressional Reporting Responsibilities"
William J. Clinton,29-Jun-93,Executive Order 12852,Presidents Council on Sustainable Development
William J. Clinton,30-Jun-93,Executive Order 12853,Blocking Government of Haiti Property and Prohibiting Transactions With Haiti
William J. Clinton,4-Jul-93,Executive Order 12854,Implementation of the Cuban Democracy Act
William J. Clinton,19-Jul-93,Executive Order 12855,Amendment to Executive Order No. 12852
William J. Clinton,3-Aug-93,Executive Order 12856,Federal Compliance With Right-to-Know Laws and Pollution Prevention Requirements
William J. Clinton,4-Aug-93,Executive Order 12857,Budget Control
William J. Clinton,4-Aug-93,Executive Order 12858,Deficit Reduction Fund
William J. Clinton,16-Aug-93,Executive Order 12859,Establishment of the Domestic Policy Council
William J. Clinton,3-Sep-93,Executive Order 12860,Adding Members to the Committee on Foreign Investment in the United States
William J. Clinton,11-Sep-93,Executive Order 12861,Elimination of One-Half of Executive Branch Internal Regulations
William J. Clinton,11-Sep-93,Executive Order 12862,Setting Customer Service Standards
William J. Clinton,13-Sep-93,Executive Order 12863,President's Foreign Intelligence Advisory Board
William J. Clinton,15-Sep-93,Executive Order 12864,United States Advisory Council on the National Information Infrastructure
William J. Clinton,26-Sep-93,Executive Order 12865,Prohibiting Certain Transactions Involving UNITA
William J. Clinton,30-Sep-93,Executive Order 12868,Measures To Restrict The Participation By United States Persons In Weapons Proliferation Activities
William J. Clinton,30-Sep-93,Executive Order 12866,Regulatory Planning and Review
William J. Clinton,30-Sep-93,Executive Order 12867,Termination of Emergency Authority for Certain Export Controls
William J. Clinton,30-Sep-93,Executive Order 12869,Continuance of Certain Federal Advisory Committees
William J. Clinton,30-Sep-93,Executive Order 12870,Trade Promotion Coordinating Committee
William J. Clinton,1-Oct-93,Executive Order 12871,Labor-Management Partnerships
William J. Clinton,18-Oct-93,Executive Order 12872,Blocking Property of Persons Obstructing Democratization in Haiti
William J. Clinton,20-Oct-93,Executive Order 12873,Federal Acquisition and Waste Prevention
William J. Clinton,20-Oct-93,Executive Order 12874,Establishing an Emergency Board To Investigate a Dispute Between The Long Island Rail Road and Certain of Its Employees Represented by the United Transportation Union
William J. Clinton,26-Oct-93,Executive Order 12875,Enhancing the Intergovernmental Partnership
William J. Clinton,1-Nov-93,Executive Order 12876,Historically Black Colleges and Universities
William J. Clinton,3-Nov-93,Executive Order 12877,Amendment to Executive Order No. 12569
William J. Clinton,5-Nov-93,Executive Order 12878,Bipartisan Commission on Entitlement Reform
William J. Clinton,8-Nov-93,Executive Order 12879,Order of Succession of Officers To Act as Secretary of the Navy
William J. Clinton,16-Nov-93,Executive Order 12880,National Drug Control Program
William J. Clinton,23-Nov-93,Executive Order 12881,Establishment of the National Science and Technology Council
William J. Clinton,23-Nov-93,Executive Order 12882,President's Committee of Advisors on Science and Technology
William J. Clinton,29-Nov-93,Executive Order 12883,Delegating a Federal Pay Administration Authority
William J. Clinton,1-Dec-93,Executive Order 12884,Delegation of Functions Under the Freedom Support Act and Related Provisions of the Foreign Operations
William J. Clinton,14-Dec-93,Executive Order 12885,Amendment to Executive Order No. 12829
